,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
115,5805,Avalanche,AVAX,avalanche,747,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393410953.8503483,442757323.8503483,False,,11,,,,2024-06-21T16:49:00.000Z,27.290267162631743,225385109.18081272,-25.6113,-0.09624359,-0.45801071,-8.09234209,-32.23448051,-29.85373504,-50.60703914,10736290035.281792,0.461,19532973762.82,,2024-06-21T16:49:00.000Z,,,,,,,2024-06-21 23:50:01.803940
116,5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271305775325.8,589519753933138.2,False,,12,,,,2024-06-21T16:49:00.000Z,1.7612020491055555e-05,276672230.1267073,-14.3364,0.45673737,-2.432377,-12.14139757,-31.32623304,-33.65451039,-37.26371334,10378258312.1061,0.4458,10382633986.15,,2024-06-21T16:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,2024-06-21 23:50:01.803940
117,1958,TRON,TRX,tron,992,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87247214097.34163,87247269523.58572,True,,13,71659659264.0,8479603651.8528,,2024-06-21T16:49:00.000Z,0.11833162115121497,251892935.44391188,10.1164,-0.155287,1.42604166,2.04155147,-2.19220812,5.92691892,-0.50376218,10324104285.06557,0.4433,10324110843.74,,2024-06-21T16:49:00.000Z,,,,,,,2024-06-21 23:50:01.803940
118,1975,Chainlink,LINK,chainlink,1796,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,587099970.4527867,1000000000.0,False,,14,,,,2024-06-21T16:49:00.000Z,14.171262854285711,308423783.8767263,10.8596,-0.56261303,-1.13544806,-4.0222722,-14.61509596,-7.32553661,-23.2018924,8319948003.029815,0.3572,14171262854.29,,2024-06-21T16:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,,2024-06-21 23:50:01.803940
119,6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,15,1459831030.8610647,8235926783.872832,,2024-06-21T16:49:00.000Z,5.641698669067861,152396648.82697818,-7.3419,-0.06332172,-0.50100118,-7.40281917,-25.41970899,-24.01982443,-38.57933438,8112499959.931279,0.3483,8112499959.93,,2024-06-21T16:49:00.000Z,,,,,,,2024-06-21 23:50:01.803940
120,1,Bitcoin,BTC,bitcoin,11132,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19715075.0,19715075.0,False,,1,,,,2024-06-21T16:51:00.000Z,63719.21394049922,26127654127.224556,7.6797,0.29324387,-1.79832924,-2.68429346,-9.31926843,-3.61809728,-2.8618006,1256229081777.9875,53.9547,1338103492750.48,,2024-06-21T16:51:00.000Z,,,,,,,2024-06-21 23:51:02.633953
121,1027,Ethereum,ETH,ethereum,9077,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276728.43750449,122276728.43750449,True,,2,,,,2024-06-21T16:50:00.000Z,3484.877764191009,15111883061.280384,-8.8362,0.16603101,-0.93548824,2.28492863,-7.2872123,9.49866018,1.73971404,426119452009.88184,18.3044,426119452009.88,,2024-06-21T16:50:00.000Z,,,,,,,2024-06-21 23:51:02.633953
122,825,Tether USDt,USDT,tether,89295,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112891354601.68275,116081999193.07195,True,,3,,,,2024-06-21T16:50:00.000Z,0.999363686264438,52058880319.145294,-0.7653,-0.03522096,-7.829e-05,0.00428781,-0.04468324,-0.13197262,-0.09768485,112819520282.1235,4.8442,116008134622.53,,2024-06-21T16:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,,2024-06-21 23:51:02.633953
123,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583727.94577292,147583727.94577292,False,,4,,,,2024-06-21T16:50:00.000Z,583.3039290900222,1772123935.2974584,1.9943,0.40777467,-2.147515,-1.62610853,-5.79895695,-2.08900379,3.42559102,86086168380.52225,3.6963,86086168380.52,,2024-06-21T16:50:00.000Z,,,,,,,2024-06-21 23:51:02.633953
124,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462007878.4428496,578620843.6277734,True,,5,,,,2024-06-21T16:50:00.000Z,130.93708153057466,2008482131.2524478,-20.6579,-0.16543997,-2.06542202,-7.96263459,-28.00593176,-14.76892782,-25.82902066,60493963247.439224,2.5975,75762924577.38,,2024-06-21T16:50:00.000Z,,,,,,,2024-06-21 23:51:02.633953
125,3408,USDC,USDC,usd-coin,19832,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32726515097.69359,32726515097.69359,False,,6,,,,2024-06-21T16:50:00.000Z,1.0000440648158757,5524523915.837279,8.4762,0.00934099,0.00245806,0.02303884,0.00392442,-0.02150946,-0.02047472,32727957185.555622,1.4056,32727957185.56,,2024-06-21T16:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,2024-06-21 23:51:02.633953
126,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-21T16:51:00.000Z,0.4820338249535821,1081964401.2440503,-6.4607,-0.32102823,-2.02455582,3.31616654,-9.8584939,-11.8129829,-23.20827884,26809846862.254696,1.1512,48203382495.36,,2024-06-21T16:51:00.000Z,,,,,,,2024-06-21 23:51:02.633953
127,74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144802996383.70523,144802996383.70523,True,,8,,,,2024-06-21T16:51:00.000Z,0.12331612165844304,593985159.3383682,-18.7959,0.90486643,-0.06984289,-8.45277552,-26.24148714,-22.43002033,-27.84759363,17856543918.56008,0.7669,17856543918.56,,2024-06-21T16:51:00.000Z,,,,,,,2024-06-21 23:51:02.633953
128,11419,Toncoin,TON,toncoin,430,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458155494.303496,5107905456.099489,True,,9,3414166606.0,24493411880.62474,,2024-06-21T16:50:00.000Z,7.174052911647728,286458315.94337976,7.4571,0.62747297,0.59998359,-8.93533107,11.98518113,18.78750252,43.44353926,17634937581.190853,0.7574,36644384009.75,,2024-06-21T16:50:00.000Z,,,,,,,2024-06-21 23:51:02.633953
129,2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35736912739.149,36980576545.153,False,,10,,,,2024-06-21T16:50:00.000Z,0.3803096219361207,272227380.40538806,-3.524,0.28613429,-0.40682375,-6.01378742,-21.2111466,-26.04853628,-40.03262062,13591091772.989893,0.5838,17113932987.13,,2024-06-21T16:50:00.000Z,,,,,,,2024-06-21 23:51:02.633953
